"country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"germany","berlin","2020-08-30",22242300,"Frankfurter Allee Süd",52.51134,13.48621,"Shared room in apartment","Shared room",2,1,3,22,10,21,30,NA,0
"germany","berlin","2020-08-30",22242698,"Weißensee",52.55036,13.45799,"Entire guesthouse","Entire home/apt",6,2,4,130,2,1124,30,NA,0
"germany","berlin","2020-08-30",22242857,"Prenzlauer Berg Süd",52.53827,13.42494,"Private room in apartment","Private room",1,NA,1,100,1,1125,0,100,3000
"germany","berlin","2020-08-30",22245056,"Moabit West",52.52134,13.3357,"Private room in apartment","Private room",2,1,1,22,6,1125,0,22.1,663
"germany","berlin","2020-08-30",22248387,"Wedding Zentrum",52.54081,13.35108,"Private room in apartment","Private room",2,1,1,25,7,14,0,25,750
"germany","berlin","2020-08-30",22253476,"Frankfurter Allee Süd FK",52.51217,13.46632,"Entire apartment","Entire home/apt",1,1,1,20,2,1125,0,20,600
"germany","berlin","2020-08-30",22254612,"Prenzlauer Berg Nordwest",52.55129,13.40329,"Entire loft","Entire home/apt",2,1,1,80,2,30,0,80,2400
"germany","berlin","2020-08-30",22255178,"Prenzlauer Berg Südwest",52.53495,13.40828,"Entire place","Entire home/apt",16,NA,1,350,1,1125,27,350,1050
"germany","berlin","2020-08-30",22255192,"Oberschöneweide",52.46118,13.52091,"Entire serviced apartment","Entire home/apt",1,1,1,55,7,1125,0,55,1650
"germany","berlin","2020-08-30",22256303,"nördliche Luisenstadt",52.50089,13.44206,"Private room in apartment","Private room",2,1,1,39,15,1125,0,38.4,1152
"germany","berlin","2020-08-30",22257439,"Tempelhofer Vorstadt",52.49037,13.38485,"Entire apartment","Entire home/apt",2,1,2,65,2,1125,0,65,1950
"germany","berlin","2020-08-30",22257525,"Schillerpromenade",52.46962,13.42251,"Private room in condominium","Private room",2,1,1,11,14,21,0,11.0666666666667,332
"germany","berlin","2020-08-30",22257934,"Frankfurter Allee Süd FK",52.50274,13.45503,"Entire apartment","Entire home/apt",4,2,3,90,7,28,0,90,2700
"germany","berlin","2020-08-30",22258377,"Neu Lichtenberg",52.50176,13.49439,"Private room in apartment","Private room",3,1,1,35,2,5,0,35,1050
"germany","berlin","2020-08-30",22260339,"Pankow Süd",52.56027,13.40376,"Entire apartment","Entire home/apt",2,1,2,50,3,1125,0,50,1500
"germany","berlin","2020-08-30",22262038,"Neuköllner Mitte/Zentrum",52.48239,13.42958,"Entire apartment","Entire home/apt",2,1,1,29,5,10,0,29,870
